price,Комнатность,Площадь квартиры,Жилая площадь,Площадь кухни,Этаж,Санузел,Кол-во санузлов,Ремонт,Мебель,Вид из окна,Серия дома,Лифт,Материал стен,Отопление,Парковка,,Высота потолков,Балкон/лоджия,Отделка,Срок сдачи,Тип жилья,Кондиционер,Кухонная мебель,Временная эпоха,Год постройки,Интернет,Вид из окон,Реновация,Территория,Холодильник,Стиральная машина,Телевизор,Посудомойка,Консьерж
9300000,1-комнатная,38 м²,19 м²,"8,5 м²",1 из 16,совмещённый,1,,нет,во двор,П-44,есть,панель,центральное,,Хорошие школы,"2,65 м",,,,,,,брежневка,,,,,,,,,,
9400000,1-комнатная,38 м²,19 м²,"8,5 м²",1 из 17,совмещённый,1,Хороший,есть,во двор,П-44,есть,панель,центральное,,Хорошая школа,"2,64 м",,,,,,есть,,,,,,,,,,,
9400000,1-комнатная,38 м²,19 м²,"8,5 м²",1 из 17,совмещённый,1,Хороший,есть,во двор,П-44,есть,панель,центральное,,Хорошая школа,"2,64 м",,,,,,,,,,,,,,,,,
8990000,1-комнатная,38 м²,19 м²,"7,4 м²",1 из 17,совмещённый,1,Хороший,,во двор,П-44,есть,,центральное,закрытая,,"2,7 м",,,,,,,,,,,,,,,,,
11500000,1-комнатная,38 м²,19 м²,9 м²,1 из 9,раздельный,1,Хороший,,во двор,II-29,есть,кирпич,центральное,,Хорошие школы,"2,64 м",есть,,,,,,сталинка,,,,,,,,,,
9000000,1-комнатная,38 м²,19 м²,9 м²,10 из 14,совмещённый,1,Хороший,,,П-44,есть,панель,центральное,,Хорошая школа,"2,7 м",есть,,,,,,,,,,,,,,,,
11100000,1-комнатная,38 м²,19 м²,10 м²,10 из 14,совмещённый,1,Хороший,,на улицу,П-44/17,есть,панель,центральное,закрытая,Спортивная площадка,,,,,,,,,,,,,,,,,,
11150000,1-комнатная,38 м²,20 м²,"8,5 м²",10 из 14,совмещённый,1,Хороший,,во двор,П-44,есть,панель,центральное,закрытая,,"2,64 м",,,,,,,,,,,,,,,,,
10850000,1-комнатная,38 м²,19 м²,8 м²,10 из 17,совмещённый,1,Хороший,,,П-44,есть,панель,центральное,,,"2,64 м",есть,,,,,,,,,,,,,,,,
9000000,1-комнатная,38 м²,19 м²,8 м²,10 из 17,совмещённый,1,,,,П-44,есть,панель,центральное,,,,,,,,,,,,,,,,,,,,
17065823,1-комнатная,38 м²,"13,2 м²","15,1 м²",10 из 19,совмещённый,1,,,,,есть,монолит,,открытая,,"2,87 м",,,4 кв. 2026 г.,,,,,,,,,,,,,,
15323909,1-комнатная,38 м²,"10,8 м²",,10 из 49,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
10900000,1-комнатная,38 м²,19 м²,8 м²,11 из 14,совмещённый,1,Хороший,,во двор,П-44Т,есть,панель,центральное,закрытая,Фитнес клуб,"2,7 м",есть,,,,,,,,,,,,,,,,
15400000,1-комнатная,38 м²,"12,9 м²","19,6 м²",11 из 17,совмещённый,1,Дизайнерский,есть,во двор,,есть,,,закрытая,,"3,1 м",,,,апартаменты,,,,2018,,,,,,,,,
