price,Комнатность,Площадь квартиры,Этаж,Отделка,Вид из окна,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Жилая площадь,Площадь кухни,Кол-во санузлов,Балкон/лоджия,Санузел,Ремонт,Мебель,Кухонная мебель,Отопление,,Тип жилья,Год постройки,Консьерж,Территория,Вид из окон,Временная эпоха,Серия дома,Кондиционер,Реновация,Посудомойка,Холодильник,Интернет,Телевизор,Стиральная машина
37585157,4-комнатная,"105,3 м²",43 из 48,предчистовая,во двор,2027 г.,"2,85 м",есть,монолит,подземная,44 м²,,,,,,,,,,,,,,,,,,,,,,,
37490045,4-комнатная,"105,4 м²",45 из 48,предчистовая,во двор,2027 г.,"2,85 м",есть,монолит,подземная,"44,1 м²",,,,,,,,,,,,,,,,,,,,,,,
37507250,4-комнатная,"105,4 м²",46 из 48,предчистовая,во двор,2027 г.,"2,85 м",есть,монолит,подземная,"44,1 м²",,,,,,,,,,,,,,,,,,,,,,,
30100000,4-комнатная,"105,5 м²",8 из 23,,,,,,панель,,70 м²,13 м²,,,,,,,центральное,Спортивная площадка,,,,,,,П-3М,,,,,,,
63003816,4-комнатная,106 м²,13 из 23,без отделки,,2 кв. 2027 г.,"3,3 м",есть,кирпич-монолит,закрытая,"67,6 м²",,,,,,,,,,,,,,,,,,,,,,,
63607788,4-комнатная,106 м²,17 из 23,без отделки,,2 кв. 2027 г.,"3,3 м",есть,кирпич-монолит,закрытая,"67,6 м²",,,,,,,,,,,,,,,,,,,,,,,
38191860,4-комнатная,"107,1 м²",7 из 30,предчистовая,во двор,2027 г.,"2,85 м",есть,кирпич-монолит,подземная,62 м²,,3,,совмещённый,,,,,,,,,,,,,,,,,,,
46483199,4-комнатная,"107,2 м²",13 из 15,без отделки,на улицу,2027 г.,"3,06 м",,,,"102,2 м²",,,,,,,,,,,,,,,,,,,,,,,
39427624,4-комнатная,"107,2 м²",13 из 22,,,2028 г.,"2,85 м",,,,"43,9 м²",,,,,,,,,,,,,,,,,,,,,,,
40000000,4-комнатная,"107,9 м²",4 из 9,,,,"3,1 м",есть,монолит,подземная,"52,9 м²","20,3 м²",3,есть,совмещённый,Нужен ремонт,,,,,,2024,,,во двор и на улицу,,,,,,,,,
50000000,4-комнатная,107 м²,7 из 29,,на улицу,,3 м,есть,монолит,подземная,46 м²,17 м²,2,есть,,Нужен ремонт,,,,Спортивная площадка,,2023,,,,,,,,,,,,
47237366,4-комнатная,"108,2 м²",16 из 20,предчистовая,во двор,,"2,85 м",есть,монолит,подземная,"59,6 м²","19,3 м²",,,,,,,,,,2023,,,,,,,,,,,,
43722500,4-комнатная,"108,2 м²",6 из 20,предчистовая,во двор,,"2,85 м",есть,монолит,подземная,"59,6 м²","19,3 м²",,,,,,,,,,2023,,,,,,,,,,,,
27000000,4-комнатная,"108,3 м²",2 из 17,,,,,,панель,,"76,8 м²","10,1 м²",,есть,,,,есть,,,,2014,,,,,,,,,,,,
45605160,4-комнатная,"108,3 м²",20 из 20,предчистовая,во двор,,"2,85 м",есть,монолит,подземная,"59,6 м²","19,3 м²",,,,,,,,,,2023,,,,,,,,,,,,
