price,Комнатность,Площадь квартиры,Жилая площадь,Этаж,Отделка,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Площадь кухни,Санузел,Кол-во санузлов,Балкон/лоджия,Серия дома,Отопление,,Тип жилья,Вид из окна,Ремонт,Вид из окон,Временная эпоха,Реновация,Территория,Год постройки,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Консьерж
24700000,2-комнатная,55 м²,36 м²,18 из 29,,,3 м,есть,монолит,подземная,"13,5 м²",совмещённый,1,,,центральное,,,на улицу,Дизайнерский,,сталинка,,,,,,,есть,,,,,
22081565,2-комнатная,55 м²,"39,7 м²",19 из 27,без отделки,2 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"5,8 м²",,,,,,,,,,,,,,,,,,,,,,,
12840552,2-комнатная,55 м²,"22,1 м²",2 из 16,без отделки,4 кв. 2026 г.,"2,95 м",,,,"18,7 м²",,,,,,,,,,,,,,,,,,,,,,,
9950000,2-комнатная,55 м²,31 м²,2 из 4,,,"3,2 м",есть,кирпич,закрытая,13 м²,раздельный,1,,,,,,во двор,Хороший,,сталинка,,,,,,,есть,,,,,
11500000,2-комнатная,55 м²,,2 из 4,,,3 м,есть,,закрытая,14 м²,совмещённый,1,,,,,,на улицу,Дизайнерский,,,,,,,,,есть,,,,,
13580785,2-комнатная,55 м²,"25,8 м²",20 из 23,,1 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"12,6 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
13549062,2-комнатная,55 м²,"25,8 м²",21 из 23,,1 кв. 2025 г.,"2,6 м",есть,монолит,открытая,"12,6 м²",совмещённый,1,,,,,апартаменты,на улицу,,,,,,,,,,,,,,,
22236280,2-комнатная,55 м²,"39,7 м²",22 из 27,без отделки,2 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"5,8 м²",,,,,,,,,,,,,,,,,,,,,,,
22460350,2-комнатная,55 м²,"39,7 м²",26 из 27,без отделки,2 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"5,8 м²",,,,,,,,,,,,,,,,,,,,,,,
14444677,2-комнатная,55 м²,"22,1 м²",3 из 16,чистовая,4 кв. 2026 г.,"2,95 м",,,,"18,7 м²",,,,,,,,,,,,,,,,,,,,,,,
11800000,2-комнатная,55 м²,34 м²,3 из 4,,,3 м,есть,кирпич,,8 м²,раздельный,1,,,,,,,Нужен ремонт,во двор и на улицу,,,,,,,,нет,,,,,
10558441,2-комнатная,55 м²,"26,6 м²",4 из 10,без отделки,3 кв. 2026 г.,"2,7 м",есть,монолит,открытая,"13,3 м²",совмещённый,1,есть,,,,,,,,,,,,,,,,,,,,
18900000,2-комнатная,55 м²,32 м²,4 из 16,,,"2,7 м",есть,панель,закрытая,9 м²,раздельный,1,есть,П-44,,Парк или зона отдыха,,во двор,Дизайнерский,,брежневка,,,,,,,есть,,,,,
19000000,2-комнатная,55 м²,30 м²,4 из 16,,,"2,75 м",есть,панель,закрытая,14 м²,раздельный,2,есть,II-68,центральное,Хорошая школа,,во двор,Евро,,,,,,,,,есть,,,,,
27490000,2-комнатная,55 м²,30 м²,4 из 41,,,"3,25 м",есть,монолит,подземная,15 м²,,2,,,,,,на улицу,Чистовая отделка,,,,,2023,,,,,,,,,
16000000,2-комнатная,55 м²,35 м²,4 из 5,,,"2,68 м",,кирпич,,10 м²,совмещённый,1,есть,,центральное,Хорошая школа,,,,,сталинка,,,,,,,,,,,,
16000000,2-комнатная,55 м²,35 м²,4 из 5,,,"2,68 м",,кирпич,закрытая,10 м²,совмещённый,1,есть,,центральное,Хорошая школа,,,Дизайнерский,во двор и на улицу,сталинка,,,,,,,есть,,,,,
